symbol,period,theme,auto_label,auto_semantic_bucket,source_context,snippet,human_label,human_semantic_bucket,review_notes
AAPL,FY2026 Q2,AI,neutral,product_technology,management_active,"...consumers. Across the lineup, this is the most powerful, capable and versatile iPhone family we've ever created. That starts with the latest in Apple silicon for iPhone, A19 and A19 Pro, which include neural accelerators in the GPU to deliver a huge boost to AI performance. With incredible performance and battery life and deep integration of Apple Intelligence, iPhone continues to set the standard for what a smartphone can be. Customers are capturing stunning photos and videos with our most advanced camera system ev...",,,
AAPL,FY2026 Q2,AI,opportunity,demand,management_active,"...AI, thanks to the unique combination of performance, efficiency and on-device capabilities. When you combine this level of integration with our relentless focus on the customer experience, it becomes clear why Apple platforms are the best place to experience AI. Now let's turn to services, which set an all-time revenue record with $31 billion. We saw double-digit growth in both developed and emerging markets and set new all-time revenue records across most of the services categories. There's no better place to find...",,,
AAPL,FY2026 Q2,AI,neutral,product_technology,management_active,"...ions in enterprise choosing Apple's devices for performance and productivity. Marsh, a leading professional services firm, deployed a large-scale refresh of corporate devices to iPhone 17 as part of a commitment to security alongside adopting Mac for internal AI development. With Apple Silicon and its powerful unified memory architecture, leading AI developers like Perplexity are choosing Mac as their preferred platform to build enterprise-grade AI assistants that power autonomous agents and boost workplace productiv...",,,
AAPL,FY2026 Q2,AI,opportunity,product_technology,management_active,"...igh school students from Windows laptops and Chromebooks to MacBook Neo, completing their transition to an all- Apple district. And in India, leading enterprise software provider, Freshworks, deployed over 5,000 MacBook Pro and MacBook Air to accelerate their AI development. Let's turn to our cash position and capital return program. We ended the quarter with $147 billion in cash and marketable securities. We had $5.8 billion of debt maturities and commercial paper remained unchanged at $2 billion, resulting in $85 b...",,,
AAPL,FY2026 Q2,AI,opportunity,demand,management_active,"...at we're seeing. And we have less flexibility in the supply chain than we normally would. For Mac, in the June quarter, there's 2 factors that are driving the constraints. One is that on the Mac Mini and the Mac Studio, both of these are amazing platforms for AI and Agentic tools. And the customer recognition of that is happening faster than what we had predicted. And so we saw higher-than-expected demand. The second reason is that the customer response to Mac Neo has just been off the charts, with higher-than-expect...",,,
AAPL,FY2026 Q2,AI,neutral,product_technology,management_active,"...products and services, and we see opportunities in both of those. And we could not be more excited about how the future is playing out. Kevan Parekh: Yes. And I think, Wamsi, as we've talked about building on what Tim said, from the start, we said we believe AI is a really important investment area for Apple, and we're going to be doing that incrementally on top of what we normally invest in our product road map. And so I think I just wanted to reiterate that point as well. Operator: Our next question is from Amit D...",,,
AAPL,FY2026 Q2,Margin,opportunity,margin_cost,management_active,"...other all-time high across all major product categories and geographic segments. Services revenue was $31 billion, up 16% year-over-year. We saw strong performance across the board with double-digit growth in the vast majority of the markets we track. Company gross margin was 49.3%, above the high end of our guidance range and up 110 basis points sequentially. Products gross margin was 38.7%, down 200 basis points sequentially. Services gross margin was 76.7%, up 20 basis points sequentially. Operating expenses landed at $18.9...",,,
AAPL,FY2026 Q2,Margin,opportunity,margin_cost,management_active,"...n, up 16% year-over-year. We saw strong performance across the board with double-digit growth in the vast majority of the markets we track. Company gross margin was 49.3%, above the high end of our guidance range and up 110 basis points sequentially. Products gross margin was 38.7%, down 200 basis points sequentially. Services gross margin was 76.7%, up 20 basis points sequentially. Operating expenses landed at $18.9 billion, up 24% year-over-year. This was slightly above the high end of our guidance range due to a one-time ex...",,,
AAPL,FY2026 Q2,Margin,opportunity,margin_cost,management_active,"...with double-digit growth in the vast majority of the markets we track. Company gross margin was 49.3%, above the high end of our guidance range and up 110 basis points sequentially. Products gross margin was 38.7%, down 200 basis points sequentially. Services gross margin was 76.7%, up 20 basis points sequentially. Operating expenses landed at $18.9 billion, up 24% year-over-year. This was slightly above the high end of our guidance range due to a one-time expense in SG&A. Net income was $29.6 billion and diluted earnings per...",,,
AAPL,FY2026 Q2,Margin,opportunity,margin_cost,management_active,"...removing the favorable year-over-year impact from foreign exchange tailwinds. Keep in mind, during the March quarter, FX was a 2.5 percentage point tailwind to the total company growth rate. And for services, that impact was slightly more favorable. We expect gross margin to be between 47.5% and 48.5%. We expect operating expenses to be between $18.8 billion and $19.1 billion. We expect OI&E to be around $250 million, excluding any potential impact from the mark-to-market of minority investments and our tax rate to be around 1...",,,
